timestamp,hour,queue_size,recent_avg_wait_time,actual_wait
04-08-2026 13:36,13,3,39.87,28
04-08-2026 13:40,13,3,41.27,45.7
04-08-2026 13:44,13,5,35.16,7.6
04-08-2026 13:45,13,3,35.42,17.9
04-08-2026 13:51,13,0,37.58,96.77
04-08-2026 13:53,13,1,37.65,18.4
04-08-2026 13:54,13,1,38.76,30.8
04-08-2026 14:05,14,0,47.46,200.87
04-08-2026 14:06,14,0,47.66,17.63
04-08-2026 14:37,14,0,66.57,562.6
04-08-2026 16:04,16,2,10.53,10.53
04-08-2026 16:21,16,0,5.78,9
2026-08-04 16:28:18,16,0,6.73,6.73
2026-08-04 16:29:50,16,0,10.7,14.67
2026-08-04 16:32:29,16,1,3.57,3.93
2026-08-04 16:32:42,16,0,3.4,3.07
2026-08-04 16:34:46,16,0,13.08,42.13
2026-08-04 16:45:53,16,0,11.08,3.07
2026-08-04 16:46:09,16,0,9.74,3.07
2026-08-04 16:46:47,16,1,8.79,3.07
2026-08-04 16:47:53,16,2,8.07,3.07
2026-08-04 16:49:17,16,0,7.52,3.07
2026-08-04 17:02:13,17,0,11.33,11.33
2026-08-04 17:08:58,17,0,8.0,4.67
2026-08-04 17:09:41,17,0,9.53,12.6
2026-08-04 17:10:31,17,0,8.03,3.53
2026-08-04 17:11:25,17,0,7.24,4.07
2026-08-04 17:13:25,17,0,6.93,5.4
2026-08-04 17:14:55,17,1,6.61,4.67
2026-08-04 17:16:53,17,0,7.83,16.33
2026-08-04 17:18:57,17,0,7.54,5.27
2026-08-04 17:19:26,17,1,7.17,3.87
2026-08-04 17:19:41,17,0,6.94,4.6
2026-08-04 17:20:52,17,1,9.98,43.4
2026-08-04 17:25:00,17,0,11.95,35.6
2026-08-04 17:26:00,17,0,11.69,8.33
2026-08-04 17:26:33,17,0,11.21,4.53
2026-08-04 17:28:28,17,1,11.17,10.47
2026-08-04 17:29:24,17,0,15.98,93.07
2026-08-04 17:34:41,17,0,17.1,36.13
2026-08-04 17:39:49,17,0,18.67,46.8
2026-08-05 12:24:36,12,0,4.0,4.0
2026-08-05 12:58:02,12,1,8.03,12.07
2026-08-05 13:14:03,13,0,16.6,16.6
2026-08-05 13:17:28,13,1,10.73,4.87
2026-08-05 13:26:06,13,0,9.07,5.73
2026-08-05 13:29:08,13,0,10.02,12.87
2026-08-05 13:32:55,13,0,11.17,15.8
2026-08-05 13:34:12,13,1,11.54,13.4
2026-08-05 13:36:25,13,1,10.52,4.4
2026-08-05 13:39:09,13,0,9.77,4.53
2026-08-05 13:45:02,13,0,9.19,4.47
2026-08-05 13:46:50,13,0,8.96,6.93
2026-08-05 13:51:54,13,0,8.53,4.2
2026-08-05 14:00:21,14,0,8.13,3.73
2026-08-05 14:02:38,14,1,8.03,6.8
2026-08-05 14:03:51,14,0,8.32,12.2
2026-08-05 14:04:09,14,0,8.55,11.67
2026-08-05 14:05:06,14,0,8.6,9.47
2026-08-05 14:05:26,14,0,8.59,8.4
2026-08-05 14:05:59,14,0,8.43,5.6
2026-08-05 14:09:10,14,0,8.78,15.13
2026-08-05 14:10:26,14,1,9.82,29.6
2026-08-05 14:24:43,14,0,9.29,5.93
2026-08-05 14:35:03,14,0,9.27,4.6
2026-08-05 14:43:09,14,0,4.07,4.07
2026-08-05 14:43:39,14,1,6.2,8.33
2026-08-05 14:45:38,14,0,7.49,10.07
2026-08-05 14:48:04,14,0,16.0,41.53
2026-08-05 14:49:21,14,0,13.51,3.53
2026-08-05 14:53:23,14,0,5.53,5.53
2026-08-05 14:53:46,14,0,5.57,5.6
2026-08-05 14:59:01,14,0,8.56,14.53
2026-08-05 15:06:35,15,1,14.82,33.6
2026-08-05 15:07:03,15,1,16.95,25.47
2026-08-05 15:09:16,15,0,23.33,55.27
2026-08-05 15:10:09,15,0,20.73,5.13
2026-08-05 15:12:20,15,0,19.63,11.93
2026-08-05 15:12:48,15,0,18.22,6.93
2026-08-05 15:32:52,15,0,17.29,8.87
2026-08-05 15:36:36,15,0,21.02,58.4
2026-08-05 15:38:40,15,0,21.73,29.47
2026-08-05 15:41:51,15,1,20.64,7.6
2026-08-05 15:41:56,15,0,22.86,51.73
2026-08-05 15:43:41,15,0,22.19,12.8
2026-08-05 15:49:48,15,2,23.6,44.67
2026-08-05 15:51:31,15,2,22.6,6.6
2026-08-05 15:52:01,15,1,21.91,10.27
2026-08-05 15:55:35,15,1,21.45,13.13
2026-08-05 15:56:17,15,0,25.28,98.07
2026-08-05 15:56:36,15,1,25.2,3.93
2026-08-05 16:00:04,16,0,25.2,5.6
2026-08-05 16:02:04,16,0,25.96,29.67
2026-08-05 16:08:44,16,1,24.99,14.27
2026-08-05 16:13:39,16,1,9.2,9.2
2026-08-05 16:17:36,16,1,6.63,4.07
2026-08-05 16:20:05,16,1,23.04,55.87
2026-08-05 16:21:33,16,2,24.52,28.93
2026-08-05 16:25:01,16,1,21.01,7.0
2026-08-05 16:28:42,16,0,18.6,6.53
2026-08-05 16:33:17,16,2,18.55,18.27
2026-08-05 16:33:35,16,1,17.31,8.6
2026-08-05 16:34:22,16,0,17.33,17.53
2026-08-05 16:36:00,16,0,16.01,4.13
2026-08-05 16:36:43,16,0,14.96,4.4
2026-08-05 16:40:05,16,0,16.82,37.27
2026-08-05 16:42:05,16,1,16.08,7.2
2026-08-05 16:42:43,16,2,15.49,7.87
2026-08-05 16:43:24,16,0,14.72,4.0
2026-08-05 16:45:06,16,1,14.8,15.93
2026-08-05 16:48:41,16,2,14.48,9.33
2026-08-05 16:50:23,16,1,14.62,17.07
2026-08-05 16:51:36,16,1,14.05,3.8
2026-08-05 16:52:00,16,0,15.1,35.07
2026-08-05 16:52:43,16,0,14.86,4.27
2026-08-05 16:57:53,16,1,15.55,18.0
2026-08-05 17:02:26,17,1,16.09,66.67
2026-08-05 17:03:47,17,1,15.02,7.47
2026-08-05 17:04:16,17,0,14.92,4.93
2026-08-05 17:05:09,17,0,14.86,5.33
2026-08-05 17:06:14,17,1,14.15,4.13
2026-08-05 17:07:14,17,1,14.15,8.6
2026-08-05 17:08:09,17,1,13.68,8.07
2026-08-05 17:08:40,17,1,14.15,13.6
2026-08-05 17:12:03,17,0,17.08,62.93
2026-08-05 17:15:08,17,1,20.67,109.07
2026-08-05 17:16:14,17,0,21.74,28.6
2026-08-05 17:30:29,17,0,21.66,6.33
2026-08-06 10:53:30,10,2,6.67,6.67
2026-08-06 10:59:53,10,2,15.45,24.23
2026-08-06 11:18:29,11,2,56.01,137.13
2026-08-06 11:19:14,11,2,43.69,6.73
2026-08-06 11:49:06,11,1,81.35,232.0
2026-08-06 12:03:50,12,2,73.83,36.2
2026-08-06 12:18:55,12,2,86.72,164.1
2026-08-06 12:20:09,12,3,77.44,12.43
2026-08-06 12:23:25,12,2,71.21,21.37
2026-08-06 12:28:11,12,2,66.41,23.2
2026-08-06 12:30:24,12,2,63.75,37.17
2026-08-06 12:33:55,12,2,61.71,39.3
2026-08-06 12:36:06,12,1,57.57,7.9
2026-08-06 12:36:55,12,2,54.93,20.57
2026-08-06 12:38:06,12,1,52.74,22.1
2026-08-06 12:39:17,12,2,51.95,40.13
2026-08-06 12:48:13,12,0,51.66,47.0
2026-08-06 13:19:08,13,1,48.97,3.27
2026-08-06 13:21:12,13,1,47.32,17.63
2026-08-06 13:23:09,13,0,45.15,3.8
2026-08-06 13:24:00,13,0,45.32,10.03
2026-08-06 13:44:16,13,0,44.42,6.33
2026-08-06 13:45:36,13,0,37.97,8.03
2026-08-06 14:19:07,14,0,4.73,4.73
2026-08-06 14:19:42,14,0,6.52,8.3
2026-08-06 14:28:33,14,0,8.73,8.73
2026-08-06 15:17:02,15,0,4.7,4.7
2026-08-06 15:40:45,15,0,4.75,4.8
2026-08-07 08:04:42,8,0,29.6,29.6
2026-08-07 08:10:29,8,0,32.43,35.27
2026-08-07 08:12:35,8,0,24.6,8.93
2026-08-07 08:22:36,8,0,28.09,38.57
2026-08-07 08:26:53,8,0,35.58,65.53
2026-08-07 08:32:12,8,0,31.64,11.97
2026-08-07 08:48:11,8,1,28.14,7.1
2026-08-07 08:51:26,8,1,25.06,3.53
2026-08-07 08:55:09,8,0,22.9,5.57
2026-08-07 09:14:06,9,0,24.99,43.83
2026-08-07 09:14:06,9,0,23.77,11.57
2026-08-07 09:15:52,9,0,23.2,16.9
2026-08-07 09:19:47,9,0,22.61,15.53
2026-08-07 09:24:42,9,1,21.5,7.17
2026-08-07 10:16:27,10,1,20.48,6.07
2026-08-07 10:16:53,10,0,19.38,3.0
2026-08-07 10:17:46,10,0,18.81,9.63
2026-08-07 10:19:01,10,0,18.04,5.0
2026-08-07 10:19:49,10,0,17.68,11.1
2026-08-07 10:21:02,10,1,17.46,13.43
2026-08-07 10:22:29,10,1,16.9,18.3
2026-08-07 10:26:33,10,1,15.61,9.4
2026-08-07 10:29:24,10,0,22.19,140.6
2026-08-07 10:32:19,10,1,20.47,4.07
2026-08-07 10:46:18,10,0,18.6,28.23
2026-08-07 10:46:29,10,0,18.29,5.7
2026-08-07 10:46:51,10,0,18.31,7.47
2026-08-07 10:47:41,10,0,18.87,14.73
2026-08-07 10:55:16,10,0,18.99,8.1
2026-08-07 11:02:14,11,0,17.0,3.97
2026-08-07 11:05:45,11,0,16.72,5.9
2026-08-07 11:16:37,11,0,17.97,41.9
2026-08-07 12:20:13,12,1,48.07,48.07
2026-08-07 12:29:21,12,1,27.2,6.33
2026-08-07 12:29:52,12,0,19.96,5.47
2026-08-07 12:30:58,12,0,17.43,9.87
2026-08-07 12:39:11,12,1,17.56,18.07
2026-08-07 13:56:31,13,0,3.6,3.6
2026-08-07 14:02:50,14,0,15.93,28.27
2026-08-07 14:05:59,14,0,14.64,12.07
2026-08-07 14:19:28,14,1,13.85,11.47
2026-08-07 14:27:06,14,2,12.83,8.73
2026-08-07 14:29:26,14,0,27.93,103.47
2026-08-07 14:38:25,14,2,24.52,4.07
2026-08-07 14:55:28,14,1,22.41,7.6
2026-08-07 14:57:40,14,0,24.21,38.67
2026-08-07 14:59:32,14,0,22.15,3.53
2026-08-07 15:07:53,15,1,20.68,6.07
2026-08-07 15:23:32,15,3,4.3,4.3
2026-08-07 15:26:41,15,1,17.15,30.0
2026-08-07 15:30:43,15,2,15.02,10.77
2026-08-07 15:32:10,15,2,12.94,6.7
2026-08-07 15:34:17,15,3,10.99,3.17
2026-08-07 15:35:43,15,3,16.07,41.47
2026-08-07 15:39:59,15,2,6.9,6.9
2026-08-08 09:46:30,9,2,12.9,12.9
2026-08-08 09:47:04,9,2,17.82,22.73
2026-08-08 09:48:42,9,0,28.52,49.93
2026-08-08 09:48:49,9,0,22.15,3.03
2026-08-08 09:50:03,9,0,19.84,10.6
2026-08-08 09:52:13,9,0,17.04,3.03
2026-08-08 09:52:18,9,0,17.62,21.1
2026-08-08 09:54:57,9,1,18.44,24.2
2026-08-08 10:02:42,10,0,23.44,63.43
2026-08-08 10:11:12,10,0,21.42,3.2
2026-08-08 10:11:30,10,0,20.51,11.47
2026-08-08 10:13:07,10,0,20.63,21.87
2026-08-08 10:13:18,10,0,19.49,5.87
2026-08-08 10:13:35,10,0,18.46,5.13
2026-08-08 10:13:46,10,0,17.5,4.07
2026-08-08 10:13:56,10,0,16.69,4.5
2026-08-08 10:14:26,10,0,16.14,7.23
2026-08-08 10:14:49,10,1,15.84,10.83
2026-08-08 10:14:56,10,1,15.28,5.17
2026-08-08 10:15:25,10,1,14.77,5.17
2026-08-08 10:19:48,10,0,18.4,85.53
2026-08-08 10:21:57,10,0,17.47,4.03
2026-08-08 10:23:32,10,1,15.78,16.1
2026-08-08 10:24:54,10,0,17.51,37.73
2026-08-08 10:26:31,10,0,18.42,28.8
2026-08-08 10:31:02,10,0,21.49,64.3
2026-08-08 10:32:10,10,0,21.59,23.1
2026-08-08 10:32:50,10,0,20.66,5.67
2026-08-08 10:33:32,10,1,17.75,5.33
2026-08-08 10:34:05,10,1,18.27,13.6
2026-08-08 10:35:12,10,1,18.48,15.53
2026-08-08 10:36:15,10,1,17.65,5.27
2026-08-08 10:37:59,10,0,19.15,35.93
2026-08-08 10:39:45,10,0,20.07,23.5
2026-08-08 10:40:39,10,0,20.17,6.03
2026-08-08 10:41:10,10,0,20.09,3.0
2026-08-08 10:47:39,10,0,20.77,20.7
2026-08-08 10:53:08,10,0,20.55,6.5
2026-08-08 10:55:18,10,0,20.56,5.4
2026-08-08 10:59:00,10,0,22.28,39.53
2026-08-08 10:59:51,10,0,18.3,5.9
2026-08-08 10:59:54,10,0,18.38,5.63
2026-08-08 11:00:52,11,0,18.08,10.1
2026-08-08 11:00:54,11,0,16.59,7.9
2026-08-08 11:01:14,11,0,15.49,6.8
